X,Y,Settlement_mm
0.0,0.0,12.107414816936705
0.25,0.0,12.107163730161243
0.5,0.0,12.10678605815757
0.75,0.0,12.106216652542464
1.0,0.0,12.105471007528163
1.25,0.0,12.104573286568813
1.5,0.0,12.103539416161645
2.0,0.0,12.101372102523928
2.5,0.0,10.95224849437369
3.0,0.0,9.973780210625481
3.5,0.0,9.332724426994954
4.0,0.0,8.971738514730896
4.5,0.0,8.855520695942461
0.0,0.25,12.107163730161243
0.25,0.25,12.106979617174531
0.5,0.25,12.106600395635702
0.75,0.25,12.106031574757573
1.0,0.25,12.105285638562345
1.25,0.25,12.104387337690497
1.5,0.25,12.103360838865546
2.0,0.25,12.101260610281441
2.5,0.25,10.949003396080645
3.0,0.25,9.968365794851971
3.5,0.25,9.326717693569519
4.0,0.25,8.965917970621089
4.5,0.25,8.84986161684295
0.0,0.5,12.10678605815757
0.25,0.5,12.106600395635702
0.5,0.5,12.106227750050977
0.75,0.5,12.105658876957976
1.0,0.5,12.10491170899483
1.25,0.5,12.104011817131532
1.5,0.5,12.102985684160934
2.0,0.5,12.100875710253577
2.5,0.5,10.938899436811884
3.0,0.5,9.951645849236622
3.5,0.5,9.308439801594398
4.0,0.5,8.94841728415526
4.5,0.5,8.832918009690694
0.0,0.75,12.106216652542464
0.25,0.75,12.106031574757573
0.5,0.75,12.105658876957976
0.75,0.75,12.105089149248045
1.0,0.75,12.104338861114524
1.25,0.75,12.103433745459204
1.5,0.75,12.102399176934275
2.0,0.75,12.100254860855788
2.5,0.75,10.920669851212605
3.0,0.75,9.922087431231667
3.5,0.75,9.277126340324536
4.0,0.75,8.919162950129424
4.5,0.75,8.804818669225885
0.0,1.0,12.10547100752816
0.25,1.0,12.105285638562345
0.5,1.0,12.10491170899483
0.75,1.0,12.104338861114524
1.0,1.0,12.103582653652891
1.25,1.0,12.102667975548748
1.5,1.0,12.101618956133624
2.0,1.0,12.099423121264085
2.5,1.0,10.891749333834628
3.0,1.0,9.876716772717984
3.5,1.0,9.231592409955143
4.0,1.0,8.87818910024518
4.5,1.0,8.76585580986335
0.0,1.25,12.104573286568813
0.25,1.25,12.104387337690497
0.5,1.25,12.104011817131532
0.75,1.25,12.103433745459204
1.0,1.25,12.102667975548748
1.25,1.25,12.101739005690794
1.5,1.25,12.100670451656311
2.0,1.25,12.098410859123108
2.5,1.25,10.847349537590071
3.0,1.25,9.810264069204518
3.5,1.25,9.170672589240821
4.0,1.25,8.82587370867129
4.5,1.25,8.716563387976302
0.0,1.5,12.103539416161647
0.25,1.5,12.103360838865548
0.5,1.5,12.102985684160936
0.75,1.5,12.102399176934275
1.0,1.5,12.101618956133624
1.25,1.5,12.100670451656311
1.5,1.5,12.099577992709468
2.0,1.5,12.097253918451262
2.5,1.5,10.778296748643779
3.0,1.5,9.71335389117038
3.5,1.5,9.095097246283077
4.0,1.5,8.762884876514526
4.5,1.5,8.658074381121512
0.0,2.0,12.10137210252393
0.25,2.0,12.101260610281441
0.5,2.0,12.100875710253577
0.75,2.0,12.10025486085579
1.0,2.0,12.099423121264085
1.25,2.0,12.098410859123108
1.5,2.0,12.097253918451262
2.0,2.0,12.094801432765552
2.5,2.0,10.367619370591335
3.0,2.0,9.441997906560077
3.5,2.0,8.900612061476691
4.0,2.0,8.609968135447307
4.5,2.0,8.518056666527517
0.0,2.5,10.952248494373688
0.25,2.5,10.949003396080645
0.5,2.5,10.938899436811884
0.75,2.5,10.920669851212605
1.0,2.5,10.891749333834628
1.25,2.5,10.847349537590071
1.5,2.5,10.778296748643779
2.0,2.5,10.367619370591335
2.5,2.5,9.741904754267361
3.0,2.5,9.088973343533889
3.5,2.5,8.670425040581666
4.0,2.5,8.437061661856632
4.5,2.5,8.362029598984881
0.0,3.0,9.973780210625481
0.25,3.0,9.968365794851971
0.5,3.0,9.951645849236622
0.75,3.0,9.922087431231667
1.0,3.0,9.876716772717986
1.25,3.0,9.810264069204516
1.5,3.0,9.713353891170378
2.0,3.0,9.441997906560077
2.5,3.0,9.08897334353389
3.0,3.0,8.728793227284363
3.5,3.0,8.440013860426795
4.0,3.0,8.266831251238985
4.5,3.0,8.209543244696137
0.0,3.5,9.332724426994952
0.25,3.5,9.326717693569519
0.5,3.5,9.308439801594398
0.75,3.5,9.277126340324534
1.0,3.5,9.231592409955143
1.25,3.5,9.170672589240821
1.5,3.5,9.095097246283077
2.0,3.5,8.90061206147669
2.5,3.5,8.670425040581666
3.0,3.5,8.440013860426795
3.5,3.5,8.248270296308737
4.0,3.5,8.124133120639138
4.5,3.5,8.081743350003364
0.0,4.0,8.971738514730895
0.25,4.0,8.965917970621087
0.5,4.0,8.94841728415526
0.75,4.0,8.919162950129422
1.0,4.0,8.87818910024518
1.25,4.0,8.825873708671292
1.5,4.0,8.762884876514526
2.0,4.0,8.609968135447307
2.5,4.0,8.437061661856632
3.0,4.0,8.266831251238985
3.5,4.0,8.124133120639138
4.0,4.0,8.029827848803475
4.5,4.0,7.996951652420162
0.0,4.5,8.85552069594246
0.25,4.5,8.849861616842949
0.5,4.5,8.832918009690694
0.75,4.5,8.804818669225885
1.0,4.5,8.76585580986335
1.25,4.5,8.716563387976302
1.5,4.5,8.658074381121514
2.0,4.5,8.518056666527517
2.5,4.5,8.362029598984881
3.0,4.5,8.209543244696139
3.5,4.5,8.081743350003364
4.0,4.5,7.996951652420162
4.5,4.5,7.967292016304509
